time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed,fuel
0,rl_0,61.6,33.0,0.0,34.4,rl_1,,,,,0,0,bottom,0,0.0,0.0,rl_13,0.0,0.00029807367774782866
0.2,rl_0,61.6,33.08233145544638,0.5167246157722348,34.399504384024965,rl_1,,,,,2.583623078861174,0,bottom,0,0.10334492315444697,0.10334492315444697,rl_13,-0.002478079875165573,0.0003302136932757515
0.4,rl_0,61.6,33.2468786966769,1.032723271321275,34.39813591727105,rl_1,,,,,2.579993277745201,0,bottom,0,0.309889577418702,0.309889577418702,rl_13,-0.00684233376958554,0.0003626726379576836
0.6,rl_0,61.6,33.49340060895185,1.5472086544453232,34.39557614434898,rl_1,,,,,2.5724269156202406,0,bottom,0,0.6193313083077667,0.6193313083077667,rl_13,-0.012798864610354066,0.0003952178489810594
0.8,rl_0,61.6,33.821605632986106,2.059864167578977,34.39146170604535,rl_1,,,,,2.5632775656682694,0,bottom,0,1.0313041418235622,1.0313041418235622,rl_13,-0.020572191518162253,0.00042778933783922576
1.0,rl_0,61.6,34.231136162776785,2.5702752915733162,34.385387634000146,rl_1,,,,,2.552055619971696,0,bottom,0,1.5453592001382255,1.5453592001382255,rl_13,-0.030370360226008586,0.0004602471513710028
1.2,rl_0,61.6,34.688228881622194,2.8687827542598834,34.379313561954945,rl_1,,,,,1.4925373134328357,0,bottom,0,2.1191157509902023,2.1191157509902023,rl_13,-0.030370360226008586,0.0003898760363193978
1.4,rl_0,61.6,35.19288378952233,3.1672902169464505,34.37323948990974,rl_1,,,,,1.4925373134328357,0,bottom,0,2.7525737943794923,2.7525737943794923,rl_13,-0.030370360226008586,0.00040027124341882313
1.6,rl_0,61.6,35.74510088647719,3.4657976796330177,34.36716541786454,rl_1,,,,,1.4925373134328357,0,bottom,0,3.445733330306096,3.445733330306096,rl_13,-0.030370360226008586,0.0004108253192078828
1.8,rl_0,61.6,36.344880172486775,3.764305142319585,34.36109134581934,rl_1,,,,,1.4925373134328357,0,bottom,0,4.198594358770013,4.198594358770013,rl_13,-0.030370360226008586,0.00042153826368657697
2.0,rl_0,61.6,36.99222164755109,4.062812605006152,34.35501727377414,rl_1,,,,,1.4925373134328357,0,bottom,0,5.011156879771243,5.011156879771243,rl_13,-0.030370360226008586,0.00043241007685490546
2.2,rl_0,61.6,37.68712531167013,4.361320067692719,17.14300797245447,rl_8,,,,,1.4925373134328357,0,bottom,0,5.883420893309787,5.883420893309787,rl_13,-2.35312325360487,0.0004434407587128685
2.4,rl_0,61.6,38.4295911648439,4.659827530379286,16.67238332173349,rl_8,,,,,1.4925373134328357,0,bottom,0,6.815386399385645,6.815386399385645,rl_13,-2.3531232536048696,0.0004546303092604659
2.6,rl_0,61.6,39.21961920707239,4.958334993065853,16.201758671012517,rl_8,,,,,1.4925373134328357,0,bottom,0,7.807053397998816,7.807053397998816,rl_13,-2.3531232536048696,0.0004659787284976974
2.8,rl_0,61.6,40.057209438355606,5.2568424557524205,15.731134020291545,rl_8,,,,,1.4925373134328357,0,bottom,0,8.8584218891493,8.8584218891493,rl_13,-2.3531232536048696,0.0004774860164245636
3.0,rl_0,61.6,40.94236185869355,5.555349918438988,15.26050936957057,rl_8,,,,,1.4925373134328357,0,bottom,0,9.969491872837096,9.969491872837096,rl_13,-2.3531232536048696,0.0004891521730410641
3.2,rl_0,61.6,41.87507646808623,5.853857381125555,14.789884718849592,rl_8,,,,,1.4925373134328357,0,bottom,0,11.140263349062208,11.140263349062208,rl_13,-2.3531232536048696,0.0005009771983471989
3.4,rl_0,61.6,42.85055869951391,6.122273419002219,14.325278353090606,rl_8,,,,,1.3420801893833234,0,bottom,0,12.364718032862651,12.364718032862651,rl_13,-2.323031828794967,0.0004844803965028203
3.6,rl_0,61.6,43.865319243330504,6.36879002395353,13.871070158878663,rl_8,,,,,1.232583024756555,0,bottom,0,13.638476037653357,13.638476037653357,rl_13,-2.271040971059711,0.00047274398483146217
3.8,rl_0,61.6,44.90887493189417,6.549512689730083,13.440418924048725,rl_8,,,,,0.9036133288827619,0,bottom,0,14.948378575599374,14.948378575599374,rl_13,-2.1532561741496963,0.0004149804224193598
4.0,rl_0,61.6,45.9717764211826,6.670929849090542,13.045185749884006,rl_8,,,,,0.6070857968022958,0,bottom,0,16.282564545417483,16.282564545417483,rl_13,-1.9761658708235883,0.0003593181629098251
4.2,rl_0,61.6,47.05015694174194,6.768078580916413,12.690224321891424,rl_8,,,,,0.485743659129354,0,bottom,0,17.636180261600764,17.636180261600764,rl_13,-1.774807139962892,0.0003364873708924313
4.4,rl_0,61.6,48.14101606516697,6.84639617212361,12.379300868194719,rl_8,,,,,0.39158795603598584,0,bottom,0,19.005459496025487,19.005459496025487,rl_13,-1.554617268483522,0.00031832910617879027
4.6,rl_0,61.6,49.24224684766596,6.911490266730063,12.115060088114038,rl_8,,,,,0.3254704730322633,0,bottom,0,20.3877575493715,20.3877575493715,rl_13,-1.3212039004034075,0.00030539657396058646
4.8,rl_0,61.6,50.352603940042634,6.968768362196698,34.4874415156264,rl_1,,,,,0.28639047733317824,0,bottom,0,21.781511221810838,21.781511221810838,rl_13,0.9442708975088179,0.0002977519298337492
5.0,rl_0,61.6,51.51052322147403,7.267275824883265,34.67629569512817,rl_1,,,,,1.4925373134328357,0,bottom,0,23.23496638678749,23.23496638678749,rl_13,0.944270897508817,0.0005591251404553438
5.2,rl_0,61.6,52.716004691960165,7.5657832875698325,34.865149874629935,rl_1,,,,,1.4925373134328357,0,bottom,0,24.748123044301458,24.748123044301458,rl_13,0.944270897508817,0.0005718612700369304
5.4,rl_0,61.6,53.969048351501016,7.8642907502564,35.05189484935645,rl_1,,,,,1.4925373134328357,0,bottom,0,26.32098119435274,26.32098119435274,rl_13,0.9337248736325918,0.0005847562683081515
5.6,rl_0,61.6,55.269654200096596,8.162798212942967,35.231679988621494,rl_1,,,,,1.4925373134328357,0,bottom,0,27.953540836941333,27.953540836941333,rl_13,0.8989256963252164,0.0005978101352690069
5.8,rl_0,61.6,56.6178222377469,8.461305675629534,35.399633756181736,rl_1,,,,,1.4925373134328357,0,bottom,0,29.64580197206724,29.64580197206724,rl_13,0.8397688378012163,0.0006110228709194966
6.0,rl_0,61.6,58.297764599730456,8.759813138316101,35.55098053030315,rl_1,,,,,1.4925373134328357,0,:center_1,0,31.39776459973046,1.3977645997304613,rl_7,0.7567338706070803,0.0006243944752596207
6.2,rl_0,61.6,60.109428719930996,9.058320601002668,35.68111090683167,rl_1,,,,,1.4925373134328357,0,:center_1,0,33.209428719931,3.2094287199309948,rl_7,0.6506518826425989,0.0006379249482893793
