episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
1275.3985431379406,-3311.36360591182,-413.9620043702338,3000.0,20,60000,False,780000,260,13,3724dec853dd43e38dcdc341bf90d305,2022-09-07_11-59-20,1662544760,200.6733603477478,2599.5185844898224,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,2599.5185844898224,780000,13,2,ad275f4e,0,4.49338347977886,1.209175056378737,0.7307189794608956,778752,780000,194152.006,10.93,5655.908,3.528,41.02307692307692,73.65874125874126,0.10000000149011612,4.999999873689376e-05,46.138367,-0.007353315,46.144646,-2.3306944e-07,0.010744276,-0.22004166,0.0
1422.1047796403202,-1828.773323036214,-68.77233894554227,3000.0,20,60000,False,840000,280,14,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-02-44,1662544964,203.88383293151855,2803.402417421341,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,2803.402417421341,840000,14,2,ad275f4e,0,4.495892990996527,1.2088466220655365,0.7308310365721923,838656,840000,194665.268,10.929,5664.261,3.485,41.62405498281787,73.92646048109965,0.10000000149011612,4.999999873689376e-05,57.588863,-0.0076086232,57.595295,-9.846738e-06,0.011767412,-0.33625513,0.0
1599.7300450327364,-1367.253453212237,219.48145513464482,3000.0,20,60000,False,900000,300,15,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-06-09,1662545169,204.16679215431213,3007.569209575653,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,3007.569209575653,900000,15,2,ad275f4e,0,4.499468583065265,1.2087652338901547,0.7312798593007738,898560,900000,195140.468,11.004,5602.936,3.699,42.38767123287671,74.10513698630139,0.10000000149011612,4.999999873689376e-05,75.11327,-0.006336213,75.118675,-0.00064945425,0.009305069,-0.3967688,0.0
1765.9689932897484,-969.6742591038052,476.2607607042639,3000.0,20,60000,False,960000,320,16,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-09-51,1662545391,222.080730676651,3229.649940252304,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,3229.649940252304,960000,16,2,ad275f4e,0,4.509886470641233,1.209175584576895,0.7332340435249428,958464,960000,197396.548,10.61,5625.074,3.598,49.81677215189873,75.25949367088607,0.05000000074505806,4.999999873689376e-05,84.50038,-0.005176649,84.50507,-0.015813371,0.009572818,-0.5099515,0.0
1765.9689932897484,-688.079108377015,678.217432543826,3000.0,20,60000,False,1020000,340,17,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-13-40,1662545620,229.74087071418762,3459.3908109664917,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,3459.3908109664917,1020000,17,2,ad275f4e,0,4.52860164722826,1.2100608624580536,0.7370623593643603,1018368,1020000,200277.591,11.278,5698.704,3.648,53.707012195121955,76.80365853658536,0.02500000037252903,4.999999873689376e-05,66.2911,-0.005484722,66.2963,7.1228445e-05,0.011136846,-0.6015783,0.0
1771.8237117905228,-324.963594614481,845.6855883016692,3000.0,20,60000,False,1080000,360,18,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-17-28,1662545848,228.12273454666138,3687.513545513153,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,3687.513545513153,1080000,18,2,ad275f4e,0,4.554186075427541,1.2112927801905782,0.7425210062041583,1078272,1080000,203172.341,11.363,5642.19,3.169,52.85490797546012,77.51472392638038,0.02500000037252903,4.999999873689376e-05,79.69423,-0.005274314,79.69925,0.014711531,0.009960449,-0.7197834,0.0
2068.121674436236,-314.27626607501327,936.4134756568587,3000.0,20,60000,False,1140000,380,19,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-21-10,1662546070,221.6143078804016,3909.1278533935547,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,3909.1278533935547,1140000,19,2,ad275f4e,0,4.583064095787637,1.212784723206678,0.7488463351268428,1138176,1140000,205338.607,11.434,5671.828,3.279,50.46550632911393,77.31740506329115,0.012500000186264515,4.999999873689376e-05,100.661995,-0.0043602786,100.66625,0.005071048,0.008243429,-0.7492643,0.0
2071.6879899697187,-309.48657439930577,1065.9803163573374,3000.0,20,60000,False,1200000,400,20,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-24-54,1662546294,223.74403977394104,4132.871893167496,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,4132.871893167496,1200000,20,2,ad275f4e,0,4.615400606129139,1.2144444850615732,0.7558728353522894,1198080,1200000,207719.432,11.44,5645.75,3.435,51.88683385579938,77.2103448275862,0.0062500000931322575,4.999999873689376e-05,146.95612,-0.003441592,146.9595,0.001253297,0.006756779,-0.85186505,0.0
2236.77622095371,-309.48657439930577,1211.3759215809544,3000.0,20,60000,False,1260000,420,21,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-28-31,1662546511,217.55049324035645,4350.422386407852,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,4350.422386407852,1260000,21,2,ad275f4e,0,4.643280140784634,1.2158552427727083,0.7620137786574247,1257984,1260000,209460.215,11.512,5616.426,3.384,48.22,77.48774193548388,0.0031250000465661287,4.999999873689376e-05,212.1905,-0.0025038286,212.19301,0.00020252932,0.0059296363,-0.9885815,0.0
2279.955441617402,222.71816315750533,1352.396711278335,3000.0,20,60000,False,1320000,440,22,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-32-00,1662546720,208.3549244403839,4558.777310848236,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,4558.777310848236,1320000,22,2,ad275f4e,0,4.663020597165891,1.216825594643589,0.7664696213134425,1317888,1320000,210315.655,11.252,5647.968,3.16,45.04194630872483,77.2023489932886,0.0015625000232830644,4.999999873689376e-05,233.62756,-0.002048665,233.62964,4.508722e-05,0.0048544947,-1.0537189,0.0
