episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
125.08286919911377,101.04905351207657,113.56067548457308,1500.0,10,15000,False,15000,10,1,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-11-17,1662826277,102.64856100082397,102.64856100082397,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,102.64856100082397,15000,1,1,f19eaa64,0,4.582756193913854,0.9250909946305093,0.8658909192125636,14976,15000,97235.605,119.679,4477.356,726.231,52.345578231292514,75.20544217687075,0.20000000298023224,4.999999873689376e-05,0.68110615,-0.014532936,0.693117,0.10987157,0.012610236,19.7609,0.0
168.10378383200853,101.04905351207657,129.06337805704288,1500.0,10,15000,False,30000,20,2,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-12-56,1662826376,99.637775182724,202.28633618354797,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,202.28633618354797,30000,2,1,f19eaa64,0,4.57187519017287,0.9265708575544063,0.8697549349349687,29952,30000,96421.703,63.492,4237.111,370.687,53.632394366197175,76.42464788732396,0.20000000298023224,4.999999873689376e-05,0.9562924,-0.01397953,0.9679275,0.35633078,0.011722013,19.777367,0.0
179.5622948998591,101.04905351207657,138.66521259517282,1500.0,10,15000,False,45000,30,3,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-14-40,1662826480,103.52578449249268,305.81212067604065,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,305.81212067604065,45000,3,1,f19eaa64,0,4.5864168572901605,0.9278842732194637,0.8776792040729333,44928,45000,97364.511,45.891,4242.052,248.206,59.234459459459465,79.57162162162162,0.20000000298023224,4.999999873689376e-05,0.97212565,-0.017234193,0.98630166,0.67342913,0.0152909905,19.755512,0.0
181.87927780531626,101.04905351207657,144.9374403450575,1500.0,10,15000,False,60000,40,4,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-16-30,1662826590,109.97323060035706,415.7853512763977,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,415.7853512763977,60000,4,1,f19eaa64,0,4.6193528396241454,0.9299332550777379,0.8896852966771327,59904,60000,99367.506,36.663,4325.455,187.549,66.41273885350319,84.7515923566879,0.20000000298023224,4.999999873689376e-05,1.2657387,-0.018407587,1.280868,0.8445919,0.016392041,19.767244,0.0
205.98803546980793,101.04905351207657,150.8135874276437,1500.0,10,15000,False,75000,50,5,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-18-20,1662826700,110.55595397949219,526.3413052558899,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,526.3413052558899,75000,5,1,f19eaa64,0,4.654000763069382,0.931689615373838,0.9005620408794204,74880,75000,100737.556,31.325,4323.747,151.204,66.25000000000001,84.74620253164558,0.20000000298023224,4.999999873689376e-05,1.7271073,-0.016738633,1.7407341,0.9123723,0.015558362,19.88408,0.0
209.7642970051775,101.04905351207657,155.12711575695462,1500.0,10,15000,False,90000,60,6,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-20-10,1662826810,109.46233344078064,635.8036386966705,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,635.8036386966705,90000,6,1,f19eaa64,0,4.683347955723574,0.933237707829442,0.9092389389526677,89856,90000,101418.946,27.577,4372.228,126.831,65.79423076923075,84.7474358974359,0.20000000298023224,4.999999873689376e-05,2.0145442,-0.019647945,2.0305283,0.9323796,0.018321544,19.848164,0.0
210.9937690860484,101.04905351207657,159.43147573794604,1500.0,10,15000,False,105000,70,7,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-21-59,1662826919,109.36158847808838,745.1652271747589,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,745.1652271747589,105000,7,1,f19eaa64,0,4.707815881523445,0.9345521599879159,0.9162519880517221,104832,105000,101865.927,25.044,4432.115,109.62,66.11089743589743,84.7378205128205,0.20000000298023224,4.999999873689376e-05,2.2612727,-0.019439066,2.277196,0.9563911,0.017578585,19.995853,0.0
218.5685564095057,101.04905351207657,163.3143960269402,1500.0,10,15000,False,120000,80,8,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-23-50,1662827030,111.33282279968262,856.4980499744415,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,856.4980499744415,120000,8,1,f19eaa64,0,4.7297845496928135,0.9357458169118216,0.9225698443509401,119808,120000,102431.353,22.974,4493.57,96.494,66.2314465408805,84.711320754717,0.20000000298023224,4.999999873689376e-05,2.6762602,-0.01886175,2.691443,0.9554513,0.018394072,19.978575,0.0
218.5685564095057,101.04905351207657,166.91751986484593,1500.0,10,15000,False,135000,90,9,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-25-41,1662827141,110.77653884887695,967.2745888233185,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,967.2745888233185,135000,9,1,f19eaa64,0,4.749277689112031,0.9367970698555114,0.9281844241205243,134784,135000,102851.18,21.351,4499.644,86.257,66.26329113924052,84.66772151898734,0.20000000298023224,4.999999873689376e-05,2.8105948,-0.017557802,2.8247702,0.9746247,0.01691502,20.023178,0.0
218.5685564095057,101.04905351207657,170.36129304402766,1500.0,10,15000,False,150000,100,10,2bfad71ed0c0432f9d77502debb6f9bf,2022-09-10_18-27-31,1662827251,110.13028311729431,1077.4048719406128,364108,kamil-ThinkBook-15-G2-ARE,192.168.0.66,1077.4048719406128,150000,10,1,f19eaa64,0,4.766261701627015,0.9377263326874705,0.9330548988096709,149760,150000,103116.304,20.098,4510.275,78.324,66.3127388535032,84.60254777070062,0.20000000298023224,4.999999873689376e-05,3.0953805,-0.0222604,3.1138723,0.9769709,0.018842721,20.065302,0.0
